,Alaska,Amsterdam,Athens,Auckland,Bali,beijing,Berlin,Cairo,chengdu,chongqing,Dubai,Edinburgh,Fiji,hainan,harbin,Hawaii,Helsinki,Hokkaido,hongkong,Kyoto,Lima,London,LosAngeles,macao,Madagascar,Madrid,Maldives,Mauritius,Miami,Milano,Moscow,Newyork,Oslo,Paris,Phuket,Provence,Reykjavík,Rome,Seattle,shanghai,Singapore,Sydney,taiwan,Tokyo,Vancouver,Venice,wuxi,xiamen,xian,yunnan
Alaska,0.9999999999999999,0.2071977322246887,0.15987304363954288,0.2504111131812868,0.16091678322326355,0.1388559795027585,0.16632280698182958,0.13330038379236844,0.14764671279525615,0.15564224238194674,0.20524264293305947,0.18175445046245448,0.24017747644364484,0.23423568515763452,0.2602685017795981,0.26938462241436817,0.22293630157260322,0.24407354757331137,0.13465569645023445,0.16495428353284863,0.1288079200612338,0.18120081289886428,0.22048228088129246,0.1284952477248735,0.20479594255410255,0.12919257018095687,0.1820027921829998,0.2063330646357052,0.2692565867671396,0.1282226119855391,0.1855284313766137,0.20473130394668776,0.24716560554067507,0.1595401421299114,0.18305202194963327,0.1627507261716797,0.2836094042433842,0.16089149358495647,0.269917402759373,0.13083196538923064,0.15323492039894418,0.23749154235004452,0.14056651971494735,0.16612881391879344,0.2629139221048365,0.180471678605189,0.12680846186516778,0.15688839735686522,0.12087499816988438,0.2117468873384842
Amsterdam,0.2071977322246887,1.0000000000000009,0.17682444254045213,0.19958593178736622,0.1688122777879977,0.15251222528925149,0.23992130492705657,0.1736840657647642,0.1761995829096641,0.1673520613260477,0.1865738255132877,0.18407965695104236,0.15700859889466942,0.18990402517974578,0.16700962752639248,0.16969528583579974,0.17550049878069843,0.1625959621145509,0.18329109740082697,0.1755510124839172,0.15972358935235906,0.21576173873059715,0.19254329140737897,0.13878938324778023,0.18221389897069526,0.19723057358145085,0.14749611000156523,0.1531144239334686,0.18475243176607722,0.21615979895124948,0.2044261738838445,0.21531733223177882,0.22277389797943387,0.23395016429331653,0.15591259555865417,0.2183369995690259,0.19599598867983764,0.21446540770451167,0.22134715493130225,0.1790784156114817,0.15464465958323179,0.2196505333642454,0.14797918406863084,0.1761530036689787,0.21379283219208084,0.23909318790209333,0.15172446816548893,0.16496745235577037,0.16193828848664482,0.17572838203251692
Athens,0.15987304363954288,0.17682444254045213,1.0000000000000016,0.1743998574227202,0.14889083609274445,0.15506875487200722,0.22949747435974877,0.2586474160631797,0.15097556347874921,0.15695777906320615,0.18193585484998778,0.20474030953229866,0.14135869668608886,0.14610460487612337,0.14471100405916745,0.17046799821601147,0.1689498588175404,0.13145163031931123,0.1501116853846188,0.15414588458194792,0.12930652481041968,0.17815993065206756,0.14314167456705348,0.11548849980873346,0.15706122831688535,0.22374837226607172,0.12384272465151416,0.15142360205245495,0.1513289085843523,0.20277359950347215,0.1952857265743888,0.1765264718353351,0.1745273051322237,0.21704521169827357,0.14207413383602344,0.16853263400743837,0.14664035178525223,0.277823442394042,0.15755167792521854,0.12403392629388205,0.12577880049586887,0.17719537377520678,0.11322602098933221,0.12001091241865665,0.15193796347150065,0.20494831222829732,0.11398092991403058,0.11476065384868842,0.14956817050367874,0.15454375823677868
Auckland,0.2504111131812868,0.19958593178736622,0.1743998574227202,1.0,0.1900072923142366,0.16578675502299706,0.16045883201343292,0.15583779614107415,0.15790325397300542,0.19558773002417448,0.21424199787196063,0.18604290189611222,0.22749872517598244,0.23352229915477893,0.14626900661941997,0.2690254385797632,0.16652513622978515,0.17372267948495496,0.16817632809106678,0.1746346008406874,0.13288255260509158,0.1986994529440864,0.18675905311702337,0.14074800238102644,0.20888675681655824,0.15130092437427703,0.1767491091860111,0.22405006500215408,0.22973807750387826,0.13655094050257927,0.15845104181776593,0.18587864812112395,0.207943705403054,0.16478219498336769,0.18822616017243934,0.2029588804904482,0.2067588569892031,0.1666645114533049,0.22277893575317417,0.1385490009528247,0.16566506268843678,0.2649433949111551,0.14597925531725045,0.16698399492195987,0.25497171480267383,0.17792317591163617,0.14271033671569747,0.16867096031694656,0.13903077261740895,0.1914803643452751
Bali,0.16091678322326355,0.1688122777879977,0.14889083609274445,0.1900072923142366,0.9999999999999998,0.12812171395592611,0.15568736592978202,0.13847081486468604,0.15880525867268763,0.1535415914675672,0.23601874671730885,0.11323922288365414,0.27086137565526647,0.22310923428911483,0.14359888009751415,0.2322001334565256,0.121939064554151,0.16570418459101752,0.17123104409739648,0.1670557952190663,0.12390328830956536,0.18354026625094724,0.1498356021852404,0.12865844684524763,0.2031490629100546,0.12467274806631849,0.2785433281187711,0.28269242673153416,0.19363070340860142,0.14178765644545252,0.15301208248455497,0.14079160992117035,0.16952178725866435,0.15819295510346967,0.277058848754006,0.16894211674772747,0.16346296401885294,0.15909079559633404,0.18072933364416915,0.15547081731134618,0.18443736306057812,0.22651920445655616,0.17429384031426512,0.16483732959978617,0.19883190453030974,0.15908576180044634,0.12881150232364333,0.17060543597140274,0.12995708729848443,0.19340663160810656
beijing,0.1388559795027585,0.15251222528925149,0.15506875487200722,0.16578675502299706,0.12812171395592611,1.0000000000000016,0.16610491471551136,0.146308459318078,0.19859245822997681,0.19270268204103053,0.15500048725119542,0.15203565413586448,0.10779040057912564,0.19702172226185366,0.20666050963911842,0.14585250757350207,0.1201077336011979,0.13788365560474966,0.13918681848969433,0.1602746779330583,0.1197242763842334,0.16167821899288834,0.13712373223918398,0.12184915418076565,0.1448185554393592,0.133548184010564,0.11251657743861537,0.12289757069064662,0.13563280585185086,0.14865160613748876,0.1534041618040012,0.1466858152526349,0.15631943043255986,0.15941456445405575,0.12134022251538668,0.17139788609009332,0.12653526282836702,0.17445600924284493,0.15918473235280478,0.15723756732439378,0.11137335794498135,0.14134019537496714,0.13360488014711105,0.14587688320848163,0.14439191623903636,0.18671941131690722,0.1949227257624828,0.16405800360962458,0.19045392487242768,0.19330201942721106
Berlin,0.16632280698182958,0.23992130492705652,0.22949747435974877,0.16045883201343292,0.15568736592978202,0.16610491471551136,1.0000000000000004,0.23814138329388024,0.16715875496361332,0.1692633542457143,0.17717003372843496,0.22200832843058055,0.12933026867944908,0.15304804443706918,0.19351274047360173,0.15210557498337063,0.19745372476118458,0.14282047398960854,0.1613681521934971,0.16377928127515756,0.13877226778518628,0.23254400291998537,0.16357918574430816,0.1321209525469306,0.1531418414613929,0.20674865873670378,0.1156632104563566,0.1450176592750006,0.15326682141181713,0.2396591302159885,0.2442472991172408,0.2163830488850579,0.2354157061690972,0.27273382280209013,0.12176671333833942,0.17445589254623178,0.16175748828619982,0.25961657501020385,0.19352048305975664,0.1584447766830166,0.136516627637426,0.1815788151193039,0.12700139112230963,0.1602275676230924,0.1904102358912235,0.22526049099070136,0.12922753229567352,0.14521528470131853,0.16786959483598646,0.15794452103075776
Cairo,0.13330038379236844,0.1736840657647642,0.2586474160631797,0.15583779614107415,0.13847081486468604,0.146308459318078,0.23814138329388024,1.0000000000000004,0.1471308118120294,0.13911484919956787,0.19806324663072794,0.19535426180435708,0.13528518125599462,0.13107332492261167,0.1392590336697935,0.1351745331045207,0.12978545118454327,0.1052161904181882,0.12639240759007728,0.13563050601899795,0.1252326715170669,0.18233290161247268,0.1315011892836766,0.10175942442103325,0.16110103325872735,0.1743713048755955,0.11006881514688295,0.14002679523849965,0.14727711622061468,0.18831723339300774,0.16188831376910984,0.14315635097440174,0.17451567964074974,0.18948530022937143,0.11490055603694273,0.16289969962596354,0.12541351648141127,0.22915947564871145,0.14906948881932652,0.1073639594110733,0.11263023620096944,0.14033022535158599,0.0967054167427824,0.11930624650920657,0.13487586784793035,0.19676606926160425,0.09277666724879857,0.12095763866717384,0.1536799826718878,0.1275180369796484
chengdu,0.14764671279525615,0.1761995829096641,0.15097556347874921,0.15790325397300542,0.15880525867268763,0.19859245822997681,0.16715875496361332,0.1471308118120294,1.0000000000000009,0.282473351566747,0.16033110736480094,0.13122413866878768,0.1254145644648024,0.20752239217066631,0.2172465977658812,0.14935911616658634,0.13030232482759205,0.14144988558267446,0.20021957618403668,0.1942687898284841,0.12691885712905254,0.15798994769989175,0.14773285946746773,0.16915142645839532,0.1579268648636583,0.13684172788789503,0.13235862860718803,0.141595353872763,0.13648296124498727,0.1551299694193441,0.15476237468030998,0.14437087180172883,0.15336651577260269,0.1640447551665663,0.15915115248728284,0.18318724771213973,0.1331913536498777,0.1584879566063355,0.18344682643506066,0.19834205973597216,0.16517472176257256,0.18498481005423695,0.1438029876169063,0.16430914734370838,0.16660156649365507,0.1563062009297797,0.21906823379332752,0.22666295721622884,0.24467965688247637,0.23006813808179086
chongqing,0.15564224238194674,0.1673520613260477,0.15695777906320615,0.19558773002417448,0.1535415914675672,0.19270268204103053,0.1692633542457143,0.13911484919956787,0.282473351566747,1.0000000000000007,0.16247881999342154,0.14238413792542823,0.13307639833001736,0.21850826086210914,0.20825051545316497,0.14232631061829265,0.13326744610781832,0.1758234648104536,0.18857471277413504,0.17985500417534175,0.12060780490171055,0.1623844607681824,0.14569635324939656,0.16504949130686553,0.153236366062106,0.13826935910414123,0.1146598054310538,0.13943467217652097,0.14733136865169882,0.1409287480387136,0.1594772602730672,0.1500766286669059,0.17101157142419918,0.17991827146845393,0.14657045633640406,0.19855249122858312,0.16042152399081097,0.17900602692766068,0.19763181105817496,0.19581581589762867,0.14293032174077247,0.1904850068175104,0.1707018038069237,0.16187760066051635,0.15804995147117945,0.16857376547085062,0.2183154682030923,0.2315185226361559,0.22025294389845848,0.2441908096989637
