Alaska		阿拉斯加	
Amsterdam	阿姆斯特丹（北方威尼斯）		
Athens 		雅典	
Auckland		奥克兰（新西兰最大的城市）	
bali			巴厘岛
Beijing		北京	
berlin		柏林	
cairo		开罗（埃及首都开罗）
Chengdu		成都	
Chongqing 	重庆		
dubai		迪拜	
Edinburgh	爱丁堡（苏格兰的首府）		
Fiji			斐济（斐济是南太平洋上珍珠般的岛屿）
Hainan		海南	
harbin		哈尔滨	
Hawaii		夏威夷	
Helsinki		赫尔辛基	
Hokkaido	北海道（有花海）	
hongkong	香港	
Kyoto		京都	
lima			利马（秘鲁首都）
London		伦敦	
losangeles	洛杉矶		
macao		澳门	
Madagascar	马达加斯加		
Madrid		马德里	
Maldives		马尔代夫	
Mauritius		毛里求斯	
Miami		迈阿密	
Milano		米兰	
Moscow		莫斯科	
newyork		纽约	
oslo			奥斯陆（挪威的首都）
paris		巴黎
Phuket		普吉岛	
provence		普罗旺斯	
Reykjavík		雷克雅未克（冰岛首都）	
rome		罗马	
seattle		西雅图（港口城市）	
shanghai		上海	
Singapore	新加坡		
Sydney		悉尼	
Taiwan		台湾	
Tokyo		东京	
Vancouver	温哥华		
venice		威尼斯	
Wuxi 		无锡
Xiamen		厦门	
xian			西安
Yunnan		云南	
